id	title	release_year	author	pages_start	pages_end
78	The Reason I Jump: The Inner Voice of a Thirteen-Year-Old Boy with Autism	2016	Naoki Higashida	18	113
79	Fall Down 7 Times Get Up 8: A Young Man's Voice from the Silence of Autism	2019	Naoki Higashida	19	137
80	Send in the Idiots: Growing Up in Another World	2006	Nazeer Kamran	9	154
81	Your Life Is Not a Label: A Guide to Living Fully with Autism and Asperger's Syndrome for Parents, Professionals and You!	2001	Newport Jerry, Bass, Ron	11	312
82	Mozart and the Whale: An Asperger's Love Story	2006	Newport Jerry, Newport Mary, Dodd Johnny	6	182
83	Asperger Syndrome: A Love Story	2007	Newton Keith	15	140
84	Standing down falling up: Asperger’s Syndrome from the Inside Out	2002	Nita Jackson	11	114
85	Parallel Play	2009	Page Tim	6	103
86	What I Want To Talk About: How Autistic Interests Shape A Life	2022	Pete Wharmby	7	105
87	Blazing My Trail: Living and Thriving With Autism	2011	Rachel B. Cohen-Rottenberg	6	104
88	Overcoming Asperger's: Personal Experience and Insight	2002	Robert Sanders	13	173
89	Look Me in the Eye	2008	Robison John Elder	11	236
90	Everyday Aspergers.	2018	Samantha Craft	6	224
91	Growing in to Autism	2022	Sandra Thom-Jones	11	113
92	Drama Queen: One Autistic Woman and a Life of Unhelpful Labels	2021	Sara Gibbs	12	242
93	Aspergirls	2010	Simone Rudy	23	232
94	Beyond the Wall: Personal Experiences with Autism and Asperger Syndrome	2001	Stephen Shore	13	205
95	A Pony in the Bedroom	2015	Susan Dunne	15	273
96	Born on A Blue Day	2007	Tammet Daniel	11	132
97	The Way I See It: A Personal Look at Autism & Asperger's:	2015	Temple Grandin	13	236
98	Emergence: Labeled Autistic	1986	Temple Grandin and Margaret M. Scariano	14	152
99	Unwritten Rules of Social Relationships: Decoding Social Mysteries Through the Unique Perspectives of Autism	2017	Temple Grandin, Sean Barron	23	402
100	The Mind Tree: A Miraculous Child Breaks the Silence of Autism	2011	Tito Rajarshi Mukhopadhyay	11	108
101	Plankton Dreams: What I Learned in Special Ed	2015	Tito Rajarshi Mukhopadhyay	8	84
102	Keep Clear: my adventures with Asperger’s	2019	Tom Cutler	8	196
103	Population One: Autism, Adversity, and the Will to Succeed	2013	Tyler McNamer	11	205
104	Finding a Different Kind of Normal: Misadventures with Asperger Syndrome	2006	Yenn Purkis, Donna Williams	9	118
